ID,Zone,Floor,Pos,Name,Batch,Date,Note,Type
1774358567223,常溫區,1F,1,回收箱,,,[報廢] 回收區,
1774359416349,常溫區,1F,2,BRD210,,,,
1774359430555,常溫區,1F,2,BRM210,,,,
1774359497339,常溫區,1F,2,CF6S500,,,,
1774359520814,常溫區,1F,3,SANS500,,,,
1774359706719,常溫區,1F,4,SA5S500,,,,
1774361402231,常溫區,1F,5,IA5A500,,,,
1774361497743,常溫區,2F,1,回收箱,,,[異常] 回收箱,
1774361537068,常溫區,2F,2,電商紙箱(大),,,,
1774361586814,常溫區,3F,2,電商紙箱(小),,,,
1774361624880,常溫區,2F,3,E型紙箱(板),,,,
1774361666481,常溫區,2F,4,FN-系列,,,,
ID398354149512,極冷庫-極冷庫-右,4F,19,38B,,,,
ID398354149514,極冷庫-右,4F,12,DCC  (豬肉)(丹麥),26#1,,,
ID398354149515,極冷庫-右,4F,4,TL-KR (牛肉),1140526K,,,
ID398354149516,極冷庫-右,4F,4,ACTDL-TY  (牛肉)(紐.澳),1140305K,,,
ID398354149517,極冷庫-右,4F,4,ACTDL-TY  (牛肉)(紐.澳),1140217K,,,
ID398354149518,極冷庫-右,4F,5,JOC,25#1,2027-01-30,,
ID398354149519,極冷庫-右,4F,5,JOP,,,,
ID3983541495110,極冷庫-右,3F,21,報廢,,,🚫 申請報廢: 報廢品 (2026/3/23),
ID3983541495111,極冷庫-右,3F,19,M9TDL-KR  (牛肉) (澳),1140704K,,,
ID3983541495112,極冷庫-右,3F,19,M9SRM-KR  (牛肉) (澳),1140704K,,,
ID3983541495113,極冷庫-右,3F,19,M9SRL-KR,1140704K,,,
ID3983541495114,極冷庫-右,3F,18,SPB2,,,,
ID3983541495115,極冷庫-右,3F,18,PRSRM-SS  (牛肉)(美),1140417K,,,
ID3983541495116,極冷庫-右,3F,17,A5CER-GB  (牛肉)(日),,,,
ID3983541495117,極冷庫-右,3F,17,PRSRL  (牛肉)(美),1150302K,,,
ID3983541495118,極冷庫-右,3F,17,CHSRM-SS  (牛肉),,,,
ID3983541495119,極冷庫-右,3F,17,PRSRM-SS  (牛肉),,,,
ID3983541495120,極冷庫-右,3F,16,台北晶華BJUP (寄庫),,,,
ID3983541495121,極冷庫-右,3F,15,EP1,EP25#4,,,
ID3983541495122,極冷庫-右,3F,14,PRRER-GO,1150330K,,,
ID3983541495126,極冷庫-右,3F,13,PRRER-GO,1150326K,,,
ID3983541495127,極冷庫-右,3F,12,自然天地 JOC (寄庫),,,,
ID3983541495128,極冷庫-右,3F,11,自然天地 JOC (寄庫),,,,
ID3983541495129,極冷庫-右,3F,10,EP350 (鴨肝),EP25#4,,,
ID3983541495130,極冷庫-右,3F,9,EP335 (鴨肝),EP25#4,,,
ID3983541495131,極冷庫-右,3F,9,EP1 (鴨肝),EP25#4,,,
ID3983541495132,極冷庫-右,3F,8,EP335 (鴨肝),EP25#4,,,
ID3983541495133,極冷庫-右,3F,7,M45OB-KR  (牛肉),1150202K,,,
ID3983541495134,極冷庫-右,3F,7,M45SRL-KR  (牛肉),1150202K,,,
ID3983541495135,極冷庫-右,3F,7,M67FKS-KR  (牛肉),1150202K,,,
ID3983541495136,極冷庫-右,3F,7,M9RER  (牛肉),1150202K,,,
ID3983541495137,極冷庫-右,3F,7,M89CTD-KR  (牛肉),1150202K,,,
ID3983541495138,極冷庫-右,3F,7,M9OB  (牛肉),1150202K,,,
ID3983541495139,極冷庫-右,3F,7,M89OB  (牛肉),1150202K,,,
ID3983541495140,極冷庫-右,3F,7,M45BSTT-KR  (牛肉),1150202K,,,
ID3983541495141,極冷庫-右,3F,7,HTR-KR  (牛肉),1150127K,,,
ID3983541495142,極冷庫-右,3F,7,TUE-KR  (牛肉),1150127K,,,
ID3983541495143,極冷庫-右,3F,7,GF-HTR-TY  (牛肉),1150129K,,,
ID3983541495145,極冷庫-右,3F,5,IST-KR  (牛肉),1141219K,,,
ID3983541495146,極冷庫-右,3F,4,ACRER-TY  (牛肉),1150119K,,,
ID3983541495147,極冷庫-右,3F,3,M67CFT-KR  (牛肉),24#6,,,
ID3983541495148,極冷庫-右,3F,3,M45SRL-KR  (牛肉),,,,
ID3983541495149,極冷庫-右,3F,3,HTR-KR  (牛肉),,,,
ID3983541495150,極冷庫-右,3F,2,ACSRM-TY  (牛肉),1150206K,,,
ID3983541495151,極冷庫-右,3F,2,ACRER-TY  (牛肉),1150206K,,,
ID3983541495152,極冷庫-右,3F,2,ACTDL-TY  (牛肉),1150206K,,,
ID3983541495153,極冷庫-右,3F,1,RFM-KR  (牛肉),1140221K,,,
ID3983541495154,極冷庫-右,3F,1,M9OB-KR  (牛肉),,,,
ID3983541495155,極冷庫-右,3F,1,M89OB-KR  (牛肉),,,,
ID3983541495156,極冷庫-右,3F,1,M9SRM-KR  (牛肉),,,,
ID3983541495157,極冷庫-右,3F,1,M67FM-KR  (牛肉),,,,
ID3983541495158,極冷庫-右,3F,1,M89TDL-KR  (牛肉),,,,
ID3983541495159,極冷庫-右,3F,1,M67TDL-KR  (牛肉),,,,
ID3983541495160,極冷庫-右,3F,1,M45BSTT-KR  (牛肉),,,,
ID3983541495161,極冷庫-右,3F,1,M67BSTT-KR  (牛肉),,,,
ID3983541495162,極冷庫-右,1F,6,12PS (鴨肉),11503,,,
ID3983541495171,極冷庫-左,4F,4,10Q (鴨腿),11503,,,
ID3983541495172,極冷庫-左,3F,21,BFMR10 (豬肉),FM25#1,,,
ID3983541495173,極冷庫-左,3F,20,PRRER-YK  (牛肉),1140827K,2027-06-06,,
ID3983541495174,極冷庫-左,3F,19,PRRER-YK  (牛肉),1140818K,2027-06-06,,
ID3983541495175,極冷庫-左,3F,18,BJUJM (豬肉),JU25#2,,,
ID3983541495179,極冷庫-左,3F,16,PRRERB-3.8CM (牛肉)(切),1150310S,,,
ID3983541495183,極冷庫-左,3F,16,CHRER-400-450  (牛肉)(切),,,,
ID3983541495184,極冷庫-左,3F,15,PRSRL-GO  (牛肉)(切),25#5,,,
ID3983541495185,極冷庫-左,3F,14,M89CER-KR-(橫) 十字切  (牛肉)(切),,,[移位] ,
ID3983541495186,極冷庫-左,3F,14,M89CER-KR-十字切  (牛肉)(切),1150122S,,[移位] ,
ID3983541495187,極冷庫-左,3F,13,PRRER-325-365  (牛肉)(切),1150123S,2027-04-04,,
ID3983541495188,極冷庫-左,3F,13,PRRERB-480-520  (牛肉)(切),,,,
ID3983541495189,極冷庫-左,3F,12,PRRER-208-320-SS  (牛肉)(切),1150123S,,,
ID3983541495190,極冷庫-左,3F,11,ACRER-TY-280-320  (牛肉)(切),1150310S,2027-04-11,,
ID3983541495192,極冷庫-左,3F,9,C規 L14,11503,,,
ID3983541495195,極冷庫-左,3F,6,PRSRL-GO(牛肉),GO25#5,,,
ID3983541495196,極冷庫-左,3F,5,SPC(豬肉),AD25#5,,,
ID3983541495199,極冷庫-左,3F,2,RF-YK (牛肉),26#3,,,
ID39835414951100,極冷庫-左,3F,1,ACSRL-TY  (牛肉),1140630K,,,
ID39835414951101,極冷庫-左,3F,1,ACSRL-TY  (牛肉),1140620K,,,
ID39835414951102,極冷庫-左,3F,1,PRRER-SS (牛肉),1140818K,2027-06-02,,
ID39835414951103,極冷庫-左,3F,1,Z (油) (鴨),,,,
ID39835414951105,極冷庫-左,1F,15,PRSTL-950-1050  (牛肉)(切),,,,
ID39835414951106,極冷庫-左,1F,15,PRSRL-2.6CM  (牛肉)(切),,,,
ID39835414951107,極冷庫-左,1F,15,PRSRL-320-360-GO  (牛肉)(切),,,,
ID39835414951108,極冷庫-左,1F,15,CHRER-280-320  (牛肉)(切),,,,
ID39835414951109,極冷庫-左,1F,14,M89BBLD-對切-KR  (牛肉)(切),,,,
ID39835414951110,極冷庫-左,1F,14,PRSTL-3CM-紅屋  (YK)  (牛肉)(切),,,,
ID39835414951111,極冷庫-左,1F,14,PRSTL-3CM-紅屋  (GO)  (牛肉)(切),,,,
ID39835414951112,極冷庫-左,1F,13,M45BBLD-KR 十字切  (牛肉)(切),,,,
ID39835414951113,極冷庫-左,1F,13,PRSTL-3CM (GO)  (牛肉)(切),,,,
ID39835414951115,極冷庫-左,1F,11,PRSTL-P規  (牛肉)(切),,,,
ID39835414951116,極冷庫-左,1F,11,M45BBLD 1.5CM KR (前腿眼)  (牛肉)(切),,,,
ID39835414951117,極冷庫-左,1F,11,M89OSF-KR 十字切 (三叉)  (牛肉)(切),,,,
ID39835414951118,極冷庫-左,1F,11,EMSPL-SS 十字切  (牛肉)(切),,,,
ID39835414951119,極冷庫-左,1F,10,L20 (光鴨) (鴨),,,,
ID39835414951120,極冷庫-左,1F,10,SP2 (火雞) -SS,,,,
ID39835414951121,極冷庫-左,1F,10,Z (油) (鴨),,,,
ID39835414951122,極冷庫-左,1F,9,鴨翅 (鴨),,,,
ID39835414951123,極冷庫-左,1F,9,G (鴨腱),,,,
ID39835414951124,極冷庫-左,1F,9,QB (鴨骨),,,,
ID39835414951126,極冷庫-左,1F,9,38B (38UP) (鴨胸),,,,
ID39835414951127,極冷庫-左,1F,8,L-14 (C規) (鴨),,,,
ID39835414951128,極冷庫-左,1F,8,37TQ (紅帶) (鴨腿),,,,
ID39835414951129,極冷庫-左,1F,8,36TQ (鴨腿),,,,
ID39835414951130,極冷庫-左,1F,8,26B (26-28) (散貨) (鴨胸),,,,
ID39835414951131,極冷庫-左,1F,8,24B (24-26) (散貨) (鴨胸),,,,
ID39835414951132,極冷庫-左,1F,7,FR8 (帶骨R8) (鹿肉),26#1,,,
ID39835414951133,極冷庫-左,1F,7,FRT (鹿肉菲力),26#1,,,
ID39835414951134,極冷庫-左,1F,6,W (原木) (鴨腿),,,,
ID39835414951137,極冷庫-左,1F,5,B(30-32),11503,2028-02-23,,
ID39835414951138,極冷庫-左,1F,4,L18 (鴨肉),,,,
ID39835414951141,極冷庫-左,1F,3,L15 A規 (鴨肉),,,,
ID39835414951142,極冷庫-左,1F,3,ADSL (豬肉),,,,
ID39835414951143,極冷庫-左,1F,2,10Q (鴨腿),,,,
ID39835414951144,極冷庫-左,1F,1,L19 (鴨肉),,,,
ID39835414951146,極冷庫-左,1F,1,CKC2 (豬肉),,,,
ID39835414951147,極冷庫-左,4F,16,L15 A規 (鴨肉),11503,,,
ID39835414951148,極冷庫-左,4F,15,Z (油) (鴨),,,,
ID39835414951149,極冷庫-左,4F,14,L16 (鴨肉),11503,,,
ID39835414951150,極冷庫-左,4F,13,L16 (鴨肉),11503,,,
ID39835414951151,極冷庫-左,3F,13,PRRER-SS-400-450  (牛肉)(切),1150123S,2027-04-04,[正常] ,
ID39835414951152,極冷庫-左,3F,13,PRRER 400-450 SS  (牛肉)(切),1150123S,2027-04-03T16:00:00.000Z,,
ID39835414951153,極冷庫-右,4F,9,保存性實驗,,,,
ID39835414951154,極冷庫-左,3F,7,FR8 (帶骨R8) (鹿肉),26#1,,,
ID39835414951155,極冷庫-左,3F,8,PRRER-YK  (牛肉),1140827K,2027-06-06,,
ID39835414951158,極冷庫-左,1F,4,TQ (鴨腿),,,,
ID39835414951159,極冷庫-左,1F,4,12Q (鴨腿),11503,,,
ID39835414951160,極冷庫-左,1F,5,B (32-34) (鴨胸),11503,,,
ID39835414951161,極冷庫-左,1F,8,34B (34-36) (鴨胸),11503,,,
ID39835414951162,極冷庫-左,4F,5,W(鴨腿)(原木),11503,,,
ID39835414951164,極冷庫-左,4F,3,FR8 (帶骨R8) (鹿肉),26#1,,,
ID39835414951165,極冷庫-左,4F,2,TMSB (羊肉),25#2,,,
ID39835414951166,極冷庫-左,1F,8,#35 (鴨胸),11503,,,
ID39835414951167,極冷庫-左,2F,16,M45SRL-KR 280-320  (牛肉)(切),1141205S,,,
ID39835414951168,極冷庫-左,2F,16,M45SRL-KR 2CM  (牛肉)(切),1140812S,,,
ID39835414951169,極冷庫-左,2F,16,M89SRL-KR 280-320  (牛肉)(切),1141205S,,,
ID39835414951170,極冷庫-左,2F,16,M89CER-KR 十字切  (牛肉)(切),1150122S,,,
ID39835414951171,極冷庫-左,3F,12,PRSTL 3CM-GO  (牛肉)(切),1150116S,2027-06-04T16:00:00.000Z,,
ID39835414951172,極冷庫-左,3F,12,PRRER 900-960-YK  (牛肉)(切),1150121S,2027-04-01T16:00:00.000Z,,
ID39835414951173,極冷庫-左,3F,12,PRRER 480-520  (牛肉)(切),,,,
ID39835414951174,極冷庫-左,3F,12,PRRERB 580-620  (牛肉)(切),,,,
ID39835414951175,極冷庫-右,2F,22,廢料 ,,,報廢,
ID39835414951176,極冷庫-右,2F,21,TUE-KR  (牛肉),,,報廢,
ID39835414951177,極冷庫-右,2F,21,MP-KR  (牛肉),,,報廢,
ID39835414951178,極冷庫-右,2F,21,HTR-KR  (牛肉),,,報廢,
ID39835414951179,極冷庫-右,2F,21,M67OB-ST  (牛肉),,,報廢,
ID39835414951180,極冷庫-右,2F,21,M89FM  (牛肉),,,報廢,
ID39835414951187,極冷庫-右,2F,11,L'ate Robuchon JOP  (寄庫),,,,
ID39835414951188,極冷庫-右,2F,18,PRRER-GO (牛肉）,1150325K,,,
ID39835414951189,極冷庫-右,2F,18,PRSRL-SS (牛肉),1150325K,,,
ID39835414951190,極冷庫-右,2F,17,LR22(羊肉）,26#1-11503,,,
ID39835414951194,極冷庫-右,2F,16,Clover Bellivita EP1 (寄庫),,,,
ID39835414951195,極冷庫-右,2F,16,Joyce East 紅石 EP350(寄庫),,,,
ID39835414951196,極冷庫-右,2F,15,CEJM (豬肉),,,,
ID39835414951197,極冷庫-右,2F,14,UNCLE 一店 JUP CKC2(寄庫),,,,
ID39835414951198,極冷庫-右,2F,14,UNCLE二店 JUP CKC2(寄庫),,,,
ID39835414951199,極冷庫-右,2F,14,UNCLE三店 JUP CKC2(寄庫),,,,
ID39835414951200,極冷庫-右,2F,14,Niche JOP JOC2(寄庫),,,,
ID39835414951201,極冷庫-右,2F,13,ULV BJUP (寄庫),,,,
ID39835414951202,極冷庫-右,2F,12,UNCLE SHAWN 三店  (寄庫),,,,
ID39835414951203,極冷庫-右,2F,12,UNCLE SHAWN 二店  (寄庫),,,,
ID39835414951204,極冷庫-右,2F,12,UNCLE SHAWN 一店 (寄庫),,,,
ID39835414951205,極冷庫-右,2F,12,直男燒肉(寄庫),,,,
ID39835414951206,極冷庫-右,2F,12,富美-宜蘭 CKC2(寄庫),,,,
ID39835414951207,極冷庫-右,2F,11,Jarana spanish (寄庫),,,,
ID39835414951208,極冷庫-右,2F,11,八色烤肉 (寄庫),,,,
ID39835414951209,極冷庫-右,2F,11,布爾喬亞 EP350 (寄庫),,,,
ID39835414951210,極冷庫-右,2F,11,Clover Bellactia (寄庫),,,,
ID39835414951211,極冷庫-右,2F,10,PRRER-GO  (牛肉),1150223K,,,
ID39835414951212,極冷庫-右,2F,10,CHSRM-SS  (牛肉),1150223K,,,
ID39835414951213,極冷庫-右,2F,10,M89RER-KR  (牛肉),1150223K,,,
ID39835414951214,極冷庫-右,2F,9,M9TDL-KR  (牛肉),1160210K,,,
ID39835414951215,極冷庫-右,2F,9,M9RER-KR  (牛肉),1150210K,,,
ID39835414951216,極冷庫-右,2F,9,M89RER-KR  (牛肉),1150210K,,,
ID39835414951217,極冷庫-右,2F,9,M89TDL-KR  (牛肉),1150210K,,,
ID39835414951218,極冷庫-右,2F,9,M9SRL-KR  (牛肉),1150210K,,,
ID39835414951219,極冷庫-右,2F,9,M89SRL-KR  (牛肉),1150210K,,,
ID39835414951220,極冷庫-右,2F,9,M67SRL-KR  (牛肉),1150210K,,,
ID39835414951221,極冷庫-右,2F,8,IST-KR  (牛肉),1150109K,,,
ID39835414951222,極冷庫-右,2F,8,OST-KR  (牛肉),1150109K,,,
ID39835414951223,極冷庫-右,2F,8,TUE  (牛肉),1150108K,,,
ID39835414951224,極冷庫-右,2F,8,HTR  (牛肉),1150109K,,,
